go_id	go_term	go_domain	size	genes
GO:0000149	SNARE binding	molecular_function	23	281511|281711|282116|282377|282531|507031|507309|507409|508675|509041|509248|510312|513138|514487|517728|532261|534304|540406|540853|614905|616923|768228|788566
GO:0000151	ubiquitin ligase complex	cellular_component	59	281831|281855|353120|359715|505200|505356|505376|505624|506605|506632|506962|507911|508235|508571|510666|511387|511585|511629|511798|511951|512207|512499|512589|512651|513023|513326|515933|517544|518857|519357|519695|519874|525161|528138|528862|530618|533364|534683|534852|535287|538086|538528|540089|540328|540660|541003|541130|613812|614152|614347|615427|616212|616275|617703|617771|767834|777600|777693|783986
GO:0000152	nuclear ubiquitin ligase complex	cellular_component	14	353120|505356|506605|506962|510666|512651|540089|540660|614152|614347|616275|617703|777693|783986
GO:0000153	cytoplasmic ubiquitin ligase complex	cellular_component	1	508571
GO:0000154	rRNA modification	biological_process	6	509725|516874|532204|533438|533987|618779
GO:0000155	phosphorelay sensor kinase activity	molecular_function	1	281881
GO:0000159	protein phosphatase type 2A complex	cellular_component	6	282320|509290|514460|516375|524361|533617
GO:0000160	phosphorelay signal transduction system	biological_process	1	281881
GO:0000164	protein phosphatase type 1 complex	cellular_component	1	511417
GO:0000165	MAPK cascade	biological_process	31	280728|280943|281038|281040|281043|281249|281251|281477|282089|282170|286883|327672|327712|407231|497017|505369|507204|510524|511077|512254|516422|529146|535327|537703|539431|540488|541235|613320|615215|767937|100125237
GO:0000166	nucleotide binding	molecular_function	721	280710|280715|280716|280726|280796|280817|280832|280855|280872|280873|280878|280939|280941|280960|280979|280991|281047|281061|281066|281067|281073|281093|281112|281115|281119|281124|281138|281167|281181|281183|281199|281216|281217|281225|281229|281235|281302|281337|281357|281363|281402|281440|281457|281476|281480|281504|281510|281542|281555|281556|281564|281576|281581|281588|281590|281592|281595|281597|281598|281601|281603|281613|281692|281700|281701|281702|281725|281729|281730|281785|281788|281789|281790|281792|281793|281794|281795|281801|281802|281816|281817|281825|281827|281831|281832|281833|281848|281854|281917|281923|281935|281936|281937|281951|281971|281972|281975|281977|281978|281990|282001|282002|282004|282015|282018|282029|282030|282031|282041|282060|282087|282119|282120|282130|282131|282136|282144|282147|282220|282223|282245|282246|282254|282296|282298|282304|282306|282309|282322|282323|282324|282325|282370|282382|282388|282389|282419|282420|282433|282446|282463|282485|282576|282578|282588|282601|282604|282646|282682|282684|282714|282716|282855|282858|282869|282876|286764|286812|286819|286822|286846|286883|287014|287019|287024|317655|317692|326583|327663|327664|327669|327671|327672|327675|327685|327687|327693|327697|327708|327953|337871|338036|338037|338049|338051|338058|338059|338060|338068|338071|338072|338074|338082|338100|338446|338471|352959|353300|360006|360192|373543|404053|404122|404132|404181|404189|407122|407159|407172|407183|407190|408000|408006|414274|415113|431786|444867|493717|493725|504226|504244|504301|504305|504437|504506|504536|504586|504652|504735|504958|505005|505082|505093|505094|505103|505167|505313|505314|505369|505472|505499|505510|505662|505721|505792|505809|505907|505968|505987|506045|506103|506294|506305|506310|506348|506482|506507|506544|506597|506598|506615|506696|506911|506917|506962|506970|507007|507066|507084|507165|507168|507204|507345|507347|507439|507470|507472|507476|507488|507507|507533|507564|507679|507828|507949|507984|507989|507991|508132|508218|508306|508312|508357|508460|508522|508581|508615|508652|508683|508723|508728|508778|508794|508809|508869|508954|508962|509080|509209|509246|509259|509292|509425|509431|509471|509473|509481|509598|509656|509768|509798|509802|509897|509958|509965|509966|509970|509983|510029|510075|510162|510301|510440|510469|510618|510684|510749|510796|510816|510826|510872|510937|510994|511009|511042|511048|511090|511135|511147|511160|511222|511257|511349|511512|511513|511612|511624|511631|511691|511773|511908|511913|511961|511969|512002|512043|512070|512136|512142|512207|512236|512259|512320|512330|512350|512373|512478|512480|512531|512573|512670|512680|512824|513061|513152|513347|513400|513483|513523|513533|513539|513545|513787|513873|513922|513958|513996|514161|514168|514209|514355|514405|514460|514472|514541|514559|514567|514586|514599|514603|514726|514749|514772|514886|514951|515024|515034|515118|515145|515146|515161|515181|515233|515247|515307|515532|515577|515580|515610|515660|515675|515723|515757|515854|515902|515999|516107|516210|516262|516989|517063|517171|517345|517409|517535|517812|517947|518045|518117|518399|518488|518601|518637|519014|519017|519217|519328|519694|519697|520046|520302|520580|520639|520716|520883|521103|521196|521304|521442|521540|521892|522329|522459|522529|522810|522863|522909|522917|522967|523206|523344|523474|523736|523752|524155|524683|524787|524795|524980|525042|525059|525106|525340|525350|525394|525416|525636|525647|525894|526133|526135|526376|526526|527263|527467|527854|527889|528204|528288|528309|528446|528862|529146|529193|529245|529507|529660|529922|529929|530186|530411|530464|530506|530642|530855|531552|531682|532231|532244|532512|532546|532582|532712|532713|532723|532822|532864|532903|533003|533070|533115|533219|533378|533661|533677|533692|533729|533862|533953|534001|534041|534206|534214|534216|534217|534296|534311|534329|534349|534407|534611|534684|534708|534721|534751|534900|535113|535126|535287|535327|535424|535605|535746|536021|536203|536925|537560|537703|537706|537713|538050|538090|538143|538238|538416|538465|538486|538579|538639|538772|538901|538921|538936|538944|539034|539080|539149|539270|539313|539357|539636|539713|539728|539764|539773|539924|539959|540005|540025|540033|540040|540158|540161|540172|540190|540191|540206|540207|540216|540236|540276|540457|540583|540614|540685|540783|540892|540969|541003|541078|541083|541085|541101|541130|613336|613338|613343|613423|613448|613614|613653|613749|613957|613996|614017|614103|614145|614242|614252|614471|614507|615074|615087|615133|615156|615171|615182|615198|615215|615408|615447|615695|615796|615845|615849|616031|616033|616339|617083|617147|617636|617703|617894|617969|618207|618235|618676|618880|692183|767607|767819|767849|767874|767894|767906|767937|767944|768014|768036|768044|768060|768070|768085|768231|768237|768244|768307|777770|777775|781044|781227|781788|782472|782916|784089|784353|785423|785911|787681|788066|788772|789298|789999|100125238|100125305|100125833|100125881|100125882|100139484|100139498|102216273
GO:0000170	sphingosine hydroxylase activity	molecular_function	1	540994
GO:0000172	ribonuclease MRP complex	cellular_component	1	614870
GO:0000175	3'-5'-exoribonuclease activity	molecular_function	7	508055|510934|524155|538860|540139|540516|777771
GO:0000176	nuclear exosome (RNase complex)	cellular_component	2	533245|615712
GO:0000177	cytoplasmic exosome (RNase complex)	cellular_component	4	513922|533245|615712|777771
GO:0000178	exosome (RNase complex)	cellular_component	7	508005|513922|532080|533245|615712|618292|777771
GO:0000179	rRNA (adenine-N6,N6-)-dimethyltransferase activity	molecular_function	4	509725|516874|532204|533438
GO:0000182	rDNA binding	molecular_function	2	512498|518046
GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	biological_process	15	282296|504506|505417|510872|514548|515145|518045|522040|524155|531673|534165|541077|615492|767836|787259
GO:0000185	activation of MAPKKK activity	biological_process	4	280943|504939|505463|618405
GO:0000186	activation of MAPKK activity	biological_process	11	281161|282382|282705|407216|493726|504939|505369|526585|529146|616375|618405
GO:0000187	activation of MAPK activity	biological_process	17	280832|280943|281192|281251|281495|281977|281978|282178|286883|507196|507319|511435|516422|529146|532393|540085|614488
GO:0000188	inactivation of MAPK activity	biological_process	6	281040|505912|507294|515310|540424|541175
GO:0000209	protein polyubiquitination	biological_process	49	281225|281495|286803|326583|353120|359715|505314|506103|506764|506962|507447|509076|511387|511631|512207|512499|512651|513326|513868|514896|515933|517544|518857|519357|527565|531022|533364|534349|534852|535287|539124|539313|540660|540667|540937|541003|541130|613423|613812|614347|614471|616275|617703|617771|767894|767901|777693|783986|100336258
GO:0000210	NAD+ diphosphatase activity	molecular_function	1	617720
GO:0000212	meiotic spindle organization	biological_process	1	504437
GO:0000214	tRNA-intron endonuclease complex	cellular_component	1	506507
GO:0000215	tRNA 2'-phosphotransferase activity	molecular_function	1	510729
GO:0000217	DNA secondary structure binding	molecular_function	5	515343|529507|533115|539431|768244
GO:0000220	vacuolar proton-transporting V-type ATPase, V0 domain	cellular_component	2	286768|338038
GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	1	282657
GO:0000225	N-acetylglucosaminylphosphatidylinositol deacetylase activity	molecular_function	1	507080
GO:0000226	microtubule cytoskeleton organization	biological_process	63	280916|280968|281181|281296|281348|281492|281729|282380|282513|286857|327715|338049|353245|404053|407122|414925|504437|504523|505011|505066|506246|506509|510141|511110|512207|512662|513688|513751|514460|515158|515350|521442|522810|523327|527201|527829|527854|528378|532120|533147|534203|534400|534849|538238|538921|539090|539149|539251|539530|539594|540216|541101|541250|614904|614988|615087|615310|616028|616317|617042|617723|768014|781199
GO:0000228	nuclear chromosome	cellular_component	8	280691|508005|509598|510956|514749|529615|533115|787528
GO:0000229	cytoplasmic chromosome	cellular_component	1	505152
GO:0000242	pericentriolar material	cellular_component	3	519463|532120|540216
GO:0000243	commitment complex	cellular_component	1	614553
GO:0000244	spliceosomal tri-snRNP complex assembly	biological_process	3	508042|510322|513868
GO:0000245	spliceosomal complex assembly	biological_process	5	281492|513868|525263|534216|540191
GO:0000250	lanosterol synthase activity	molecular_function	1	615906
GO:0000255	allantoin metabolic process	biological_process	3	282376|518364|528311
GO:0000256	allantoin catabolic process	biological_process	1	528311
GO:0000262	mitochondrial chromosome	cellular_component	1	505152
GO:0000266	mitochondrial fission	biological_process	7	280730|506291|508571|534254|540892|613472|615565
GO:0000268	peroxisome targeting sequence binding	molecular_function	2	514832|521522
GO:0000270	peptidoglycan metabolic process	biological_process	1	282305
GO:0000271	polysaccharide biosynthetic process	biological_process	12	280991|281220|493638|505968|511961|512670|534402|537812|538602|539466|768225|786335
GO:0000272	polysaccharide catabolic process	biological_process	4	280798|281909|282645|538710
GO:0000275	mitochondrial proton-transporting ATP synthase complex, catalytic core F(1)	cellular_component	2	338081|617230
GO:0000276	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	cellular_component	6	282690|282701|282710|338040|515696|3283881
GO:0000278	mitotic cell cycle	biological_process	4	510141|534579|767932|786629
GO:0000280	nuclear division	biological_process	92	281061|281142|281184|281577|281667|281668|281671|281729|282370|282380|282513|282658|282684|326588|407168|408000|504411|505011|505200|505356|505401|506176|506235|506605|506615|506632|507226|507703|507731|507845|508043|508561|508601|509117|509921|510159|510184|510595|510809|511009|511612|512850|512977|513277|513430|513551|514327|514564|514749|514863|515287|515933|516209|519217|519463|519613|519974|519992|520188|522810|526651|527201|528138|528378|529615|532622|534811|534849|536936|537921|538238|538921|540089|540206|540457|540868|540966|613732|614347|615133|615847|616275|616311|618018|618880|767834|767858|767985|777596|777693|782916|783986
GO:0000281	mitotic cytokinesis	biological_process	7	282032|317655|527854|532120|534553|538238|616028
GO:0000287	magnesium ion binding	molecular_function	56	280701|280891|280993|281141|281229|281235|281865|281994|281995|282090|282323|282446|282857|317658|317692|327669|338051|506111|506308|506955|507084|507579|508460|508723|510301|512320|514168|514293|514886|517539|518488|519627|522529|525059|525340|525563|525738|533115|533630|533692|534183|534402|538173|540303|613338|613957|614103|614145|615106|615264|616242|618278|618855|781227|784089|789409
GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	biological_process	1	508055
GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	biological_process	2	508055|524155
GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	biological_process	3	282640|508055|535447
GO:0000291	nuclear-transcribed mRNA catabolic process, exonucleolytic	biological_process	4	508055|526320|533245|615712
GO:0000293	ferric-chelate reductase activity	molecular_function	1	317663
GO:0000295	adenine nucleotide transmembrane transporter activity	molecular_function	1	534742
GO:0000301	retrograde transport, vesicle recycling within Golgi	biological_process	1	614236
GO:0000302	response to reactive oxygen species	biological_process	28	280795|280826|281495|281496|281718|281719|281838|281998|282389|282438|282653|282885|286810|414346|505694|505763|506618|511268|513762|514685|515118|515397|524361|531682|537703|613320|613972|618530
GO:0000303	response to superoxide	biological_process	1	281495
GO:0000305	response to oxygen radical	biological_process	2	281495|282389
GO:0000307	cyclin-dependent protein kinase holoenzyme complex	cellular_component	7	511147|511513|512466|519217|524530|615414|100125238
GO:0000309	nicotinamide-nucleotide adenylyltransferase activity	molecular_function	2	511042|522863
GO:0000313	organellar ribosome	cellular_component	10	504320|506358|508216|508359|509768|513622|534317|615666|615873|617901
GO:0000314	organellar small ribosomal subunit	cellular_component	12	445421|505681|509816|510899|512469|513438|516004|534185|535290|613561|613835|614148
GO:0000315	organellar large ribosomal subunit	cellular_component	14	399560|506657|506988|509469|510347|513622|515014|515465|538054|614711|614906|617466|618779|618791
GO:0000320	re-entry into mitotic cell cycle	biological_process	2	505200|524530
GO:0000323	lytic vacuole	cellular_component	80	280815|280832|281070|281105|281108|281112|281193|281276|281281|281421|281433|281711|281736|281838|281897|281909|282218|282271|282272|282341|282438|282467|282602|282883|317710|327711|327715|352958|404146|404187|504468|504781|505097|505514|505554|507188|507398|509076|509522|509775|509970|510524|510620|511378|511903|512444|513038|513406|515397|515527|515575|516090|516797|518169|520348|524503|525303|526538|527140|529186|533357|534560|534927|538050|539357|539663|539959|540667|540923|613674|614849|615376|615930|617955|618207|618860|767922|780806|100125876|100141289
GO:0000334	3-hydroxyanthranilate 3,4-dioxygenase activity	molecular_function	1	510602
GO:0000338	protein deneddylation	biological_process	3	507932|540223|617995
GO:0000339	RNA cap binding	molecular_function	4	282640|404130|510872|535447
GO:0000340	RNA 7-methylguanosine cap binding	molecular_function	3	282640|404130|510872
GO:0000346	transcription export complex	cellular_component	4	512136|537706|540191|616638
GO:0000347	THO complex	cellular_component	3	510250|529231|533001
GO:0000349	generation of catalytic spliceosome for first transesterification step	biological_process	1	513868
GO:0000375	RNA splicing, via transesterification reactions	biological_process	26	282640|326578|338051|504381|504962|505093|507828|508735|509437|509802|510872|511147|512318|512330|513868|517947|533977|534228|534894|535113|535258|540191|613630|615156|615240|767817
GO:0000377	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	biological_process	26	282640|326578|338051|504381|504962|505093|507828|508735|509437|509802|510872|511147|512318|512330|513868|517947|533977|534228|534894|535113|535258|540191|613630|615156|615240|767817
GO:0000380	alternative mRNA splicing, via spliceosome	biological_process	6	505093|507828|509437|511147|512318|534894
GO:0000381	regulation of alternative mRNA splicing, via spliceosome	biological_process	15	281938|282018|504381|504506|505417|507828|513347|515145|518045|534216|539841|615156|615692|617969|767937
GO:0000386	second spliceosomal transesterification activity	molecular_function	1	512318
GO:0000387	spliceosomal snRNP assembly	biological_process	17	281492|508042|508788|510201|510322|513868|514202|514932|515594|515968|522621|525263|531493|613304|614553|615240|618024
GO:0000389	mRNA 3'-splice site recognition	biological_process	2	504381|512318
GO:0000390	spliceosomal complex disassembly	biological_process	1	509349
GO:0000394	RNA splicing, via endonucleolytic cleavage and ligation	biological_process	5	506507|510729|510816|525106|613795
GO:0000395	mRNA 5'-splice site recognition	biological_process	3	282011|614553|615796
GO:0000398	mRNA splicing, via spliceosome	biological_process	26	282640|326578|338051|504381|504962|505093|507828|508735|509437|509802|510872|511147|512318|512330|513868|517947|533977|534228|534894|535113|535258|540191|613630|615156|615240|767817
GO:0000400	four-way junction DNA binding	molecular_function	4	529507|533115|539431|768244
GO:0000403	Y-form DNA binding	molecular_function	2	533115|539431
GO:0000404	heteroduplex DNA loop binding	molecular_function	1	533115
GO:0000405	bubble DNA binding	molecular_function	1	515343
GO:0000406	double-strand/single-strand DNA junction binding	molecular_function	1	533115
GO:0000407	pre-autophagosomal structure	cellular_component	9	327715|338472|408001|507340|508631|513049|514547|527278|540482
GO:0000408	EKC/KEOPS complex	cellular_component	1	507512
GO:0000413	protein peptidyl-prolyl isomerization	biological_process	24	281418|281419|281420|414346|504397|506043|508179|508535|513428|514460|515069|517560|534182|535310|535470|535494|537921|538998|614498|614795|785179|785768|787681|100126055
GO:0000421	autophagic vacuole membrane	cellular_component	8	327715|338472|408001|508631|514547|534304|539478|540482
GO:0000422	mitochondrion degradation	biological_process	12	281813|327715|338472|408001|508235|508571|514547|518258|540482|615565|615729|781260
