go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000002	mitochondrial genome maintenance	biological_process	3702	inferred	8	814672|820177|821600|822021|838449|840063|841183|841506	AT2G01440|RECA3|POLGAMMA1|MSH1|AT1G18680|AT1G31760|OSB1|POLGAMMA2
GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	3702	inferred	4	819388|837736|844216|5007658	ALG3|AT1G11880|AT1G78800|ALG12
GO:0000012	single strand break repair	biological_process	3702	inferred	2	837333|844382	LIG1|ATXRCC1
GO:0000014	single-stranded DNA endodeoxyribonuclease activity	molecular_function	3702	inferred	6	828244|828245|828246|834117|837660|843158	ENDO4|ENDO3|ENDO5|UVH1|BFN1|ENDO2
GO:0000015	phosphopyruvate hydratase complex	cellular_component	3702	inferred	3	817505|818226|843741	ENOC|LOS2|ENO1
GO:0000018	regulation of DNA recombination	biological_process	3702	inferred	18	821383|822331|824027|824897|827261|828016|835495|836456|836516|837359|837835|838161|839457|840448|841183|842815|843928|844335	MSH2|AT3G27120|IDN2|INO80|HSBP|FDM2|AT5G54090|AT5G63370|CHR24|AT1G08390|AT1G12790|FDM1|AT1G04650|FANCM|OSB1|AT1G65070|SKP1|AT1G79950
GO:0000019	regulation of mitotic recombination	biological_process	3702	inferred	1	836516	CHR24
GO:0000023	maltose metabolic process	biological_process	3702	inferred	4	818682|827419|831618|836609	DPE2|CT-BMY|RCP1|DPE1
GO:0000024	maltose biosynthetic process	biological_process	3702	inferred	1	827419	CT-BMY
GO:0000025	maltose catabolic process	biological_process	3702	inferred	2	818682|836609	DPE2|DPE1
GO:0000026	alpha-1,2-mannosyltransferase activity	molecular_function	3702	inferred	2	818610|838261	LEW3|EBS3
GO:0000027	ribosomal large subunit assembly	biological_process	3702	inferred	3	818636|820785|841726	AT2G40430|AT3G15460|AT1G52930
GO:0000028	ribosomal small subunit assembly	biological_process	3702	inferred	2	833863|843064	AT5G38720|emb1688
GO:0000030	mannosyltransferase activity	molecular_function	3702	inferred	25	818134|818610|819388|821148|821672|824766|826972|831337|831477|831554|831734|832274|832337|837736|838227|838261|838646|838956|839019|839467|841232|841588|843775|844216|5007658	CSLA07|LEW3|ALG3|CSLD3|MSR1|CSLA14|ATCSLA15|AT5G14850|CSLA11|CSLD2|ATCSLA09|PNT1|CSLA02|AT1G11880|AT1G16570|EBS3|DPMS1|CSLA03|CSLA10|CSLD5|DPMS3|MSR2|DPMS2|AT1G78800|ALG12
GO:0000033	alpha-1,3-mannosyltransferase activity	molecular_function	3702	inferred	2	819388|844216	ALG3|AT1G78800
GO:0000035	acyl binding	molecular_function	3702	inferred	1	832157	TIP1
GO:0000036	acyl carrier activity	molecular_function	3702	inferred	9	819070|819664|828608|832778|834813|837372|841900|841905|842836	MTACP-1|ACP1|ACP4|ACP5|mtACP3|FATB|ACP2|ACP3|mtACP2
GO:0000038	very long-chain fatty acid metabolic process	biological_process	3702	inferred	34	815998|816124|817165|817694|817832|818042|819175|819284|819824|820190|821967|822140|822525|824568|827018|828553|829574|829602|829603|829836|830912|832383|834758|834966|837117|837919|838528|839131|839395|843098|843182|843456|844435|3766725	KCS8|KCS9|KCS10|ADS2|CB5-B|FAH1|AT2G45670|KCS13|AT3G06470|KCS14|AT3G23840|LAG1|MYB30|PAS1|AT4G13840|CER2|KCS16|KCS17|KCS18|HOS3-1|PAS2|CYP86B1|BI1|KCS21|ADS1|LAG13|KCS4|KCS5|KCS1|KCR1|KCS6|KCS7|AT1G80950|AT1G13840
GO:0000041	transition metal ion transport	biological_process	3702	inferred	63	814931|814938|815004|815356|816428|816847|816856|817239|817559|817568|817787|818369|818427|818622|818800|819293|819373|819414|820276|820457|820532|822319|823843|824775|824790|824975|825367|826992|827332|827712|827713|829439|829490|831720|831787|832188|832253|832740|833627|834102|834218|836020|836021|836071|836336|836868|837029|837214|837296|837550|838166|838472|839411|840014|841127|841586|842203|842281|842387|842719|843816|844422|3767772	ZIP7|DTX1|AT2G04620|ABCI4|HMA4|NRAMP3|AtMT4b|COPT6|ZIP6|AT2G30160|ZIP3|COPT4|IREG1|FER4|AtMT4a|ZAT|MHX|AT2G48020|FER2|ZIP1|CAX2|YSL6|COPT2|FER3|CCH|AT3G58060|MTPA1|AT4G13590|OPT3|IRT2|IRT1|ZIP9|PAA1|FER1|IREG2|COPT5|PAA2|IREG3|AT5G36290|YSL4|Mfl1|COPT1|COPT3|ZIP2|ZIP12|NRAMP4|ZIP5|AT1G07030|ECA1|ECA3|NRAMP6|AT1G18910|FRO2|ZIP10|NRAMP2|AT1G51610|ZF14|PEN3|IRT3|AT1G64150|AT1G74770|NRAMP1|AT2G07768
GO:0000045	autophagosome assembly	biological_process	3702	inferred	11	820611|821408|821453|824121|824223|825344|827258|829202|835088|839424|841861	APG12B|AT3G18770|ATG2|ATG13|AT3G50590|ATG6|VAMP724|AT4G30790|AT5G50230|VAMP726|ATG12A
GO:0000049	tRNA binding	molecular_function	3702	inferred	15	816387|818668|824983|825110|826624|827559|829746|830084|830977|832159|832600|834962|836526|839238|843949	AT2G18720|CTEXP|AT3G58140|GCN2|AT4G10320|AT4G18330|AT4G35910|AT4G39280|AT5G11090|AT5G20370|AT5G25280|OVA2|ERS|EIF2 GAMMA|AT1G76170
GO:0000050	urea cycle	biological_process	3702	inferred	2	826458|826468	ARGAH2|ARGAH1
GO:0000054	ribosomal subunit export from nucleus	biological_process	3702	inferred	2	830452|843032	MOS7|AT1G67120
GO:0000055	ribosomal large subunit export from nucleus	biological_process	3702	inferred	2	830452|843032	MOS7|AT1G67120
GO:0000056	ribosomal small subunit export from nucleus	biological_process	3702	inferred	1	830452	MOS7
GO:0000062	fatty-acyl-CoA binding	molecular_function	3702	inferred	6	819707|828524|828891|832825|835428|840069	ACBP4|ACBP3|ACBP2|ACBP5|ACBP1|ACBP6
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	3702	inferred	2	817949|844329	MBAC1|BAC2
GO:0000070	mitotic sister chromatid segregation	biological_process	3702	inferred	12	817819|824628|824873|825237|827271|829267|833741|834917|837647|839140|842392|842394	EMB2795|AT3G54630|AT3G57060|AT3G60660|AT4G15890|CTF7|EMB2656|SMC3|AT1G11060|TPX2|AT1G61000|AT1G61030
GO:0000075	cell cycle checkpoint signaling	biological_process	3702	inferred	17	816591|817921|819713|821254|821496|822195|824630|827497|829108|830434|833791|835051|835372|839145|839453|841684|842992	AT2G20635|BUBR1|RAD9|NBS1|BUB3.1|MAD2|FBL17|AT4G17760|EMB2757|AT5G05510|ASF1B|MAD1|AT5G52950|SOG1|WEE1|AT1G52530|SGA2
GO:0000076	DNA replication checkpoint signaling	biological_process	3702	inferred	2	835372|839453	AT5G52950|WEE1
GO:0000077	DNA damage checkpoint signaling	biological_process	3702	inferred	6	819713|821254|824630|827497|839145|841684	RAD9|NBS1|FBL17|AT4G17760|SOG1|AT1G52530
GO:0000079	regulation of cyclin-dependent protein serine/threonine kinase activity	biological_process	3702	inferred	2	829791|830574	AT4G36390|AT5G06830
GO:0000080	mitotic G1 phase	biological_process	3702	inferred	2	821847|827132	SOL1|TCX2
