go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0005575	cellular_component	cellular_component	39946	inferred	48	3950679|3950681|3950683|3950686|3950688|3950689|3950691|3950692|3950693|3950696|3950704|3950715|3950718|3950734|3950735|3950742|3950744|3950748|3950751|3950761|3950762|3950764|3950765|4126865|4126869|4126875|4126879|4126880|4126881|4126884|4126885|4126886|4126889|4126894|4126895|4126897|4126903|4126907|4126909|4126911|4126912|4126913|4126916|4126917|4126918|4126919|4126920|4126921	orf224|cob|rpl2|orf241|orf284|nad3|ccmFc|ccmB|nad4L|orf161|nad1|orf152b|cox2|nad4|orf288|rps4|nad6|ccmC|orfB|cox1|atp6|cox3|nad2|rpl2|ndhC|ccsA|matK|atpI|atpH|psaB|psaA|rps4|psbF|psbB|psbN|petD|rpl2|ndhF|ndhD|ndhE|ndhG|ndhA|psbA|psbK|psbI|psbD|psbC|psbM
GO:0005622	intracellular	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0005623	cell	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0005737	cytoplasm	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0005739	mitochondrion	cellular_component	39946	inferred	9	3950683|3950688|3950696|3950742|4126865|4126884|4126886|4126903|4126916	rpl2|orf284|orf161|rps4|rpl2|psaB|rps4|rpl2|psbA
GO:0016020	membrane	cellular_component	39946	inferred	29	3950679|3950681|3950686|3950689|3950691|3950693|3950704|3950734|3950744|3950748|3950761|3950762|3950764|3950765|4126869|4126875|4126880|4126884|4126885|4126894|4126897|4126907|4126909|4126911|4126912|4126913|4126916|4126919|4126920	orf224|cob|orf241|nad3|ccmFc|nad4L|nad1|nad4|nad6|ccmC|cox1|atp6|cox3|nad2|ndhC|ccsA|atpI|psaB|psaA|psbB|petD|ndhF|ndhD|ndhE|ndhG|ndhA|psbA|psbD|psbC
GO:0031410	cytoplasmic vesicle	cellular_component	39946	inferred	22	3950679|3950686|3950692|3950704|3950715|3950718|3950735|3950751|3950765|4126869|4126875|4126879|4126881|4126889|4126895|4126907|4126909|4126911|4126912|4126917|4126918|4126921	orf224|orf241|ccmB|nad1|orf152b|cox2|orf288|orfB|nad2|ndhC|ccsA|matK|atpH|psbF|psbN|ndhF|ndhD|ndhE|ndhG|psbK|psbI|psbM
GO:0031982	vesicle	cellular_component	39946	inferred	22	3950679|3950686|3950692|3950704|3950715|3950718|3950735|3950751|3950765|4126869|4126875|4126879|4126881|4126889|4126895|4126907|4126909|4126911|4126912|4126917|4126918|4126921	orf224|orf241|ccmB|nad1|orf152b|cox2|orf288|orfB|nad2|ndhC|ccsA|matK|atpH|psbF|psbN|ndhF|ndhD|ndhE|ndhG|psbK|psbI|psbM
GO:0043226	organelle	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0043227	membrane-bounded organelle	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0043229	intracellular organelle	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0043231	intracellular membrane-bounded organelle	cellular_component	39946	inferred	9	3950683|3950688|3950696|3950742|4126865|4126884|4126886|4126903|4126916	rpl2|orf284|orf161|rps4|rpl2|psaB|rps4|rpl2|psbA
GO:0044424	intracellular part	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0044444	cytoplasmic part	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0044464	cell part	cellular_component	39946	inferred	31	3950679|3950683|3950686|3950688|3950692|3950696|3950704|3950715|3950718|3950735|3950742|3950751|3950765|4126865|4126869|4126875|4126879|4126881|4126884|4126886|4126889|4126895|4126903|4126907|4126909|4126911|4126912|4126916|4126917|4126918|4126921	orf224|rpl2|orf241|orf284|ccmB|orf161|nad1|orf152b|cox2|orf288|rps4|orfB|nad2|rpl2|ndhC|ccsA|matK|atpH|psaB|rps4|psbF|psbN|rpl2|ndhF|ndhD|ndhE|ndhG|psbA|psbK|psbI|psbM
GO:0097708	intracellular vesicle	cellular_component	39946	inferred	22	3950679|3950686|3950692|3950704|3950715|3950718|3950735|3950751|3950765|4126869|4126875|4126879|4126881|4126889|4126895|4126907|4126909|4126911|4126912|4126917|4126918|4126921	orf224|orf241|ccmB|nad1|orf152b|cox2|orf288|orfB|nad2|ndhC|ccsA|matK|atpH|psbF|psbN|ndhF|ndhD|ndhE|ndhG|psbK|psbI|psbM
