go_id	go_name	go_domain	tax_id	annotation_type	size	gene_ids	gene_symbols
GO:0000049	tRNA binding	molecular_function	10090	direct	79	13627|13664|13722|14904|14911|15108|17299|19988|20226|20556|20589|20823|21752|26905|26908|27103|27267|28114|52575|54351|56361|65967|66044|66235|66244|66369|66590|66965|67097|67417|67667|67789|67851|68736|69934|69955|70047|70120|71787|71799|71984|71989|72026|72181|72322|72650|73192|73681|74174|74195|74455|83669|85305|98685|98956|104458|105148|106248|106338|107271|108943|211006|211064|212528|214580|216443|218506|224805|226982|229317|230233|230734|233189|234734|237886|276950|319582|328092|381314	Eef1a1|Eif1a|Aimp1|Gtpbp1|Thumpd3|Hsd17b10|Mettl1|Rpl6|Sars1|Slfn2|Ighmbp2|Ssb|Tert|Eif2s3x|Eif2s3y|Eif2ak4|Cars1|Nsun2|Trmt10c|Elp5|Pus1|Eefsec|Dtd1|Eif1ax|Nemf|Dus2|Farsa|Ctu2|Rps10|Ears2|Alkbh8|Dalrd3|Mtres1|Tyw5|Trmt10b|Fars2|Trnt1|Yars2|Trnau1ap|Ptcd1|Sars2|Rpusd4|Trmu|Nsun4|Xpo5|Mtrfr|Xpot|Trmt11|Gtsf1|Elp3|Nsun6|Wdr6|Kars1|Trmt1l|Nat10|Rars1|Iars1|Qtrt2|Nsun3|Yars1|Trmt10a|Sepsecs|Alkbh1|Trmt1|Pstk|Mars1|Mrps27|Aars2|Eif5b|Eif2a|Elp1|Yrdc|Ctu1|Aars1|Slfn9|Slfn8|Trmt9b|Dtd2|Iars2
GO:0000050	urea cycle	biological_process	10090	direct	11	11846|11847|11898|12606|14194|15194|18416|75986|109900|217214|227231	Arg1|Arg2|Ass1|Cebpa|Fh1|Htt|Otc|Agmat|Asl|Nags|Cps1
GO:0000052	citrulline metabolic process	biological_process	10090	direct	3	11898|15194|69219	Ass1|Htt|Ddah1
GO:0000053	argininosuccinate metabolic process	biological_process	10090	direct	2	11898|109900	Ass1|Asl
GO:0000054	ribosomal subunit export from nucleus	biological_process	10090	direct	7	16418|19384|19428|64930|75471|103573|224092	Eif6|Ran|Rasl2-9|Tsc1|1700009N14Rik|Xpo1|Lsg1
GO:0000055	ribosomal large subunit export from nucleus	biological_process	10090	direct	7	18148|19069|19384|97112|100019|103573|231452	Npm1|Nup88|Ran|Nmd3|Mdn1|Xpo1|Sdad1
GO:0000056	ribosomal small subunit export from nucleus	biological_process	10090	direct	7	18148|19069|19384|20054|67842|103573|353258	Npm1|Nup88|Ran|Rps15|Nop9|Xpo1|Ltv1
GO:0000062	fatty-acyl-CoA binding	molecular_function	10090	direct	21	11363|11364|11370|11409|13167|13168|15356|15378|18738|20280|20652|23986|69123|70025|72482|74159|78245|97212|170760|223920|270076	Acadl|Acadm|Acadvl|Acads|Dbi|Dbil5|Hmgcl|Hnf4a|Pitpna|Scp2|Soat1|Eci2|Eci3|Acot7|Acbd6|Acbd5|Acbd7|Hadha|Acbd3|Soat2|Gcdh
GO:0000064	L-ornithine transmembrane transporter activity	molecular_function	10090	direct	5	11987|11988|11989|18408|83885	Slc7a1|Slc7a2|Slc7a3|Slc25a15|Slc25a2
GO:0000070	mitotic sister chromatid segregation	biological_process	10090	direct	32	12704|18005|18817|19384|22680|26951|51944|52276|52696|54141|56150|60411|66140|66468|67052|67139|68142|70218|71175|76044|76464|102920|103733|103768|105988|108907|208628|218914|219114|224023|228421|381318	Cit|Nek2|Plk1|Ran|Zfp207|Zw10|Knstrn|Cdca8|Zwint|Spag5|Mad2l1|Cenpk|Ska2|Ska1|Ndc80|Mis12|Ino80|Kif18b|Nipbl|Ncapg2|Knl1|Cenpi|Tubg1|Tubg2|Espl1|Nusap1|Kntc1|Wapl|Ska3|Klhl22|Kif18a|Nsl1
GO:0000076	DNA replication checkpoint signaling	biological_process	10090	direct	9	19367|21853|66131|67177|231724|235559|240087|269582|327762	Rad9a|Timeless|Tipin|Cdt1|Rad9b|Topbp1|Mdc1|Clspn|Dna2
